b_number,bigram terms,borough,file name,search criteria,text extract,year,borough name (normalised),list of search terms,Keep?,Further notes,View offered of married women's work,Married women's work discussed in the context of motherhood,Occupation type
b1982161x,"married,women",Bromley,Bromley.1952.b1982161x.txt,bigram + list of terms,"and men did not remain long unemployed. Although unemployment is slightly higher than in 1951, the percentage of unemployment has kept below 2%. Unemployment among women has remained steady throughout the year around a figure of 80, excepting during October when it jumped to 115. A similar movement occurred in October, 1951, and is attributed to the termination of employment in the Catering industry in holiday resorts. Of the women registered as unemployed in December, fourteen of them were Registered Disabled Persons. The increase in the Register for 1952, as compared with 1951, is mainly attributed to the return of married women to the employment field. One interesting feature is the appreciable number of women at present working in districts outside Bromley who have registered at this office for local employment."" 20 METEOROLOGICAL OBSERVATIONS. I am indebted to the Borough Engineer for the following information, which has been extracted from the records at the Climatological Station at Church House Gardens:— Total rainfall during 1952: 26.22 inches. Mean maximum daily temperature: 57.38°F. Mean minimum daily temperature: 42.68ºF. Highest maximum temperature: 88°F. (on 1st July). Lowest minimum temperature: 19°F. (on 27th January). Lowest grass temperature recorded: 17ºF. (on 25th Nov. and 6th",1952,Bromley,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Unspecified
b1987618x,"married,women",Ilford,Ilford.1952.b1987618x.txt,bigram + list of terms,"6d. per child per day, with provision for this standard charge to be reduced, according to scale, when the means of the parents do not justify the full charge. Following this increase in January, 1953, there has been a marked decrease in the daily attendances at the Nurseries. It should, however, be mentioned that for some months previously the number of applications for day nursery accommodation had somewhat diminished, largely due to the decline in the birth rate over the past four or five years and possibly in part due to the fact that there have been less opportunities for married women to find employment than there were two or three years ago. (c) The training of Students at the Nurseries for the Certificate of the National Nursery Examination Board continued. Ten Students (two from the Ley Street Nursery, one from the Sunshine House Nursery, three from the Goodmayes Lane Nursery and four from Stevens Road Nursery) entered for the examination during the year, five of whom obtained the Certificate. In January, 1953, approval was given to arrangements being made for young students to attend part-time courses (on one day a week) at day continuation classes whilst awaiting enrolment for",1952,Redbridge,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
b19821633,"married,women",Bromley,Bromley.1954.b19821633.txt,bigram + list of terms,"(b) On Retirement—That men and women who can give effective service should be given the opportunity, without regard to age, to continue at work if they wish. Unemployment among women is mainly comprised of clerical and shop workers for whom there is difficulty in placing on account of age restrictions, and of women who require work for a limited number of hours owing to domestic responsibilities, many of whom only register for short periods when the urge or necessity to take a job arises. The rise in the number of women registered as unemployed in October was mainly due to married women registering for employment following the return of children to school and not to any other cause. Of the 44 registered as unemployed on 6th December. 22 were over 40 and 22 under that age. Also 20 of the women registered were married. There have been no important changes in local industry during the year excepting that at Bromley Gas Works where production of gas ceased on 31st March. All displaced workers were either transferred to other depots of the S.E. Gas Board or were placed in other employment by this office. 18 Although unemployment has remained so low",1954,Bromley,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
b18249395,"married,women",Hornsey,Hornsey.1954.b18249395.txt,bigram + list of terms,"Group for Children under Five As an adjunct to the scheme for dealing with behaviour problems it is further proposed to set up at Park Lane Clinic and Day Nursery during 1955 an experimental ""play group"" where children with such problems can mix and play with other children. The scheme envisages the co-operation of the Child Guidance staff and it is hoped to report progress at an early date. Daily Guardian Scheme The supervised daily minding of children under school age, whose mothers are in full-time employment was established in this Area in 1947. It commenced very modestly with three married women who were prepared to take into their own homes, children whose mothers could not make any other satisfactory arrangements for minding by the day. Each guardian is paid one shilling a day for each child placed with her, irrespective of payment received from the mother. There are no retaining fees and payment commences after registration and evidence of the receipt of the child. No guardian may accept more than two 72 children. The selection of guardians is limited to those who are prepared to keep to the rules of the scheme and are approved by the health visitor",1954,Haringey,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Nannying
b19784442,"married,women",Barking,Barking.1954.b19784442.txt,bigram + list of terms,"much evidence to show they are also happier and healthier if allowed to do so. Page 36 One of the objections raised to the employment of people beyond the present retiring ages is the alleged increased incidence of sickness amongst older members of the staff. In this connection a recent report on sickness in a health department of a local authority (published in the ""Monthly Bulletin of the Ministry of Health and the Public Health Laboratory Service"" for October, 1954), is of the greatest interest. It was found that in general women lost more time through illness than men and married women lost more time than a single woman. For each category, however, the sickness rates rose to a maximum for staff between the ages of 50 and 55, and decreased markedly thereafter. Both single and married women over 60 lost less working days per year than those in any other age group and men over 60 lost almost as little time as the youngest. Specimen figures are given in the following table:— WORKING DAYS LOST PER YEAR Ages Men Single women Married women 30 years+ 4 8 28 40 years+ 7 15 21 50 years+ 13 21 29 60",1954,Barking and Dagenham,"employment,employed,employee,work,working,worked,job,occupation",Yes,get table that appears towards the end of the extract,Not applicable/No view,No,Unspecified
b19881939,"married,women",Tottenham,Tottenham.1956.b19881939.txt,bigram + list of terms,"female, 65 male) 84 (47 male, 37 female Disabled Persons (on disabled register 49 (38 male, 1) female 45 Women A high number of women were employed in the various industries and generally gave a good account of themselves, as compared with men. However, it was agreed that despite good service that on the whole there was always the greater liability to absenteeism in the case of women. This occurred not so much through personal illness as through illness in other members of the family or other purely domestic reasons, e.g. being at home to let the sweep in. Naturally, married women were susceptible to such considerations to a greater degree than the unmarried. Young Persons Young persons were found to be generally scattered through the various trades and there was not sufficient grouping of them in particular occupations to call for any special comments. Accidents among young persons were very low but it was found that where 1 arge numbers of young persons were employed together, accident rates went up this being due to 1ack of experience and ""sky larking"" attitude of many of them. It seems that young persons scattered in with more experienced workers are given a",1956,Haringey,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Unspecified
b19881605,"married,women",WestHam,WestHam.1956.b19881605.txt,bigram + list of terms,"the Centre for routine treatments, but owing to the cost of transport this is largely limited to the Canning Town area. Loan Scheme. The scheme for the loan of nursing equipment has been increasingly used and has proved of great assistance in improving the care of sick persons nursed in their own homes. Future of the Service. There has been no improvement in the recruitment of trained staff for full-time employment. The part-time staff are the mainstay of the service and we have been fortunate in retaining many of the present staff for over 5 years. Most of these are married women and some of them (who have older children) are now able to work additional hours. This has been a considerable help to the service and enabled all requests for nursing care to be met. Any extension to cover a later evening service, although desirable, cannot be contemplated until an appreciable increase in full-time staff is achieved. This continued shortage of whole-time nursing staff is a serious national firoblem. The limited number of staff who qualify each year tend to remain in the hospital service. The very nature of the home nursing duties in districts such as West Ham,",1956,Newham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Positive,Yes,Nursing
b19789464,"married,women",Enfield,Enfield.1957.b19789464.txt,bigram + list of terms,"21 With the ready co-operation of three factory managements, programmes consisting of a talk on food hygiene and the showing of the instructional colour film ""Food without Fear"" were arranged. Food handlers from other factory canteens nearby were invited to these three meetings and a total of 162 people attended. Each programme took the form of a short introductory talk followed by the film, after which questions were invited. A great amount of effort was expended in encouraging people to attend, but it is difficult to assess the ultimate value of this form of education. Many factory canteen workers are married women with family responsibilities and are unable or unwilling to attend in their own time, whilst Managements are often unable or reluctant to release their personnel during working hours. Samples of washing-up waters and swabs from kitchen utensils and equipment were taken from 68 premises, including restaurants, cafes, school kitchens and sculleries, factory canteens, hotel kitchens, public houses and shops. Altogether 69 samples of washing-up water and 150 swabs from utensils and equipment were examined. In 45 cases results on examination were considered to be unsatisfactory. Advice on washing up technique was given where indicated as necessary by the",1957,Enfield,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,"Catering, Factory"
b19881617,"married,women",WestHam,WestHam.1957.b19881617.txt,bigram + list of terms,"1,356 2,501 41,813 51,052 92,865 Grand Total: 3,101 2,501 92,865 These tables do not show any striking difference from those for 1956. Home Nursing Centre The service for patients residing north of the District Railway line was provided, as previously, by the staff from the Lady Rayleigh Training Home (under agency arrangements with the Essex County Council). South of the Railway line the service continued from the Liverpool Road Centre. Prom there the nurses go out to cover the whole of this area. Those patients who were able attended the Centre and were treated there. The service mostly depends on married women who can only spare a few hours a day from their home commitments, but who also have a real sense of vocation for nursing and enjoy their work. This has resulted in them voluntarily undertaking to maintain a latenight service where the need arises. Loan Scheme The provision on loan of nursing equipment for patients nursed at home continues to be a valuable adjunct to the Home Nursing Service. Laundry Service Plans for this service have continued to develop slowly and it is hoped that it will commence early in the new year. Queens Institute of District Nursing",1957,Newham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Positive,No,Nursing
b18253040,"married,women",LondonCountyCouncil,LondonCountyCouncil.1960.b18253040.txt,bigram + list of terms,"by, tend to decrease at later ages but as the bronchitis death rate for both sexes has been declining in recent years it is possible that this may affect the relativity. As indicated earlier, unlike pneumonia, bronchitis is a disease from which a person may have suffered for many years before death. This is evident from the morbidity statistics produced by the Ministry of Pensions and National Insurance, based on claims for sickness benefit. Certificates in support of such claims now cover practically the entire employed male population, but they are not so representative of the female population because only married women who follow a paid employment are eligible for national insurance and, of those that are, two.thirds of them ' opt out' of the scheme for sickness benefit. The latest Digest of statistics analysing certificates of incapacity ', relating to 1956.57, show that, for both sexes, bronchitis was one of the two most common causes of sickness absence (for which a claim was made) and was the reason for the highest number of days of absence. The other most important cause of absence was influenza, which fluctuated from year to year whilst bronchitis is more consistent. In terms of",1960,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,No,Unspecified
b1987523x,"married,women",KingstonuponThames,KingstonuponThames.1961.b1987523x.txt,bigram + list of terms,"list of causes for complaints received during 1961:- Accumulations 33 Animals 8 Ashbins 5 Drains and Sanitary Arrangements 94 37 Insects and Pests 19 Overcrowding 1 Rodent s 126 Sanitary Defect s 68 Smoke 13 Water 3 12 Yard Paving 2 35 456 35 14. RODENT AND INSECT PEST CONTROL,, The good public relations cultivated between the department, business managements, and private householders have produced again the pleasing factor that no legal action has been taken under the Prevention of Damage by Pests Act, 1949. The department's work, to a certain extent, has been complicated by the fact that more married women now go out to work, and this means that frequently there is no one at home when a call is made. It is necessary, therefore, to make special appointments and revisits,, Time spent on the car and watching television has meant that back gardens tend more and more to become neglected and littered with rubbish and unwanted articles. Because of this, some difficulty is sometimes experienced in controlling rodent infestations. Infestations on new building sites are often due to the careless habits of workmen and it is necessary to maintain regular inspections of such premises. The routine inspection",1961,Kingston upon Thames,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,No,Unspecified
b19787194,"married,women",Croydon,Croydon.1961.b19787194.txt,bigram + list of terms,"founder of the ""Samaritans"" Society and the example of schemes carried out in the southwark Diocese the following two-part programme was arranged:- To train a panel of speakers who would be ready to talk to girls of all denominations in Secondary Schools on Personal Relationships"" if invited to do so by the Head Teacher. The training included lectures on theology of sex and marriage, Personal relationships, physiology and preparation for marriage. 8 The Health Education Officer has given additional assistance during three sessions on specific points of presentation, with reference to experience in local schools. The panel consists of six married women in their thirties, five of whom have children. Most of them have had a University training and include one woman doctor and four former ex-teachers. One member also works for the Marriage Guidance Council in Croydon. The general pattern followed by members of the panel on completion of their training is:- (a) The speaker visits the headmistress on invitation and discusses the procedure, time allowed, content of talks and the method of delivery. (b) During the second visit a talk is given to the girls and at the conclusion of this they are asked for written questions on",1961,Croydon,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,"Medicine, Teaching, Social Work"
b19881265,"married,women",Sutton,Sutton.1965.b19881265.txt,bigram + list of terms,"services, to plan their future accordingly. 5 I am indebted to Dr.G.HoHall, Consultant Geriatrician, St.Helier Hospital, for his comments which are as follows :- ""As far as I can see, the main problem in the care of the elderly is the increasing age and frailty of the majority of patients now referred to the Geriatric Unit. The result of this is that in many cases rehabilitation can only produce partial independence, supervision and care being required in these cases. With the greater age of patients the relatives in turn are often in the geriatric age group0 The greater employment of married women has not helped either, in that many of the younger members of the family, friends and neighbours are now not available to help. The solution of the problem must lie in the provision of a much more comprehensive domiciliary scheme. More flatlets with adequate warden supervision, more welfare home places suitably staffed to cater for these older and less independent people. More long stay hospital beds will, in all probability be required, but the necessity to provide these beds will to a large extent depend on the scope and the quantity of the Local Authority provisions for the",1965,Sutton,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,No,Unspecified
b19787248,"married,women",Croydon,Croydon.1966.b19787248.txt,bigram + list of terms,"prescribe whatever medicines they deemed necessary. After very careful consideration the Committee resolved to apply the former County Borough policy. Issue of Welfare Foods in 1966:— National Dried Milk 54,698 Cod Liver Oil 6,503 Vitamin A and D Tablets 8,254 Orange Juice 110,465 29 THE WORK OF THE PUBLIC HEALTH NURSING SERVICES Miss L.E. Oakley, S.R.N.,S.C.M.,H.V. Cert. Superintendent Nursing Officer During 1966 the work of the three nursing services has gone on despite a continuous fight against staff shortages. It is not easy to recruit either midwives, health visitors or home nurses and the first two do not apparently attract married women wishing to return to work. Mothercraft sessions, held in doctors' surgeries and on Corporation premises, have drawn midwives and health visitors more closely together. Now that it is no longer necessary for a health visitor to be a state certified midwife it is essential that the midwife takes over that part of the teaching dealing with the management of labour and the establishment of breast feeding and matters relating to the puerperium, whilst the health visitor talks on the preparation of the nursery, the layette and various problems relating to the first years of life. ""Preparation for Parenthood""",1966,Croydon,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,"Midwifery, Health Visiting"
b18246862,"married,women",Southwark,Southwark.1967.b18246862.txt,bigram + list of terms,"welfare officer was on secondment during the whole of the year, and one commenced a two year course in September. One mental welfare officer returned to duty in July having obtained the Certificate in Social Work after one year's secondment. Students, as listed below were seconded to the department for supervised practical training for varied periods at different times of the year. In addition some medical students (Guy's) attended weekly. Details of Students placed with the department 5 Certificate in Social Work (North West Polytechnic) 11 Mental Health Course (London School of Economics) 1 London Borough's Training Committee—re-entry course for married women 4 Group work students (North West Polytechnic) 1 Bedford College (Department of Social Administration) 1 Student Teacher for Mentally Handicapped (Chiswick Polytechnic) (Peckham Junior Training School) 1 Student—Social Studies—University College of South Wales In addition there were very many visitors to the mental health services and establishments, some for long detailed visits, others for short trips of observation. These included doctors, medical students, parties of nurses from Guy's, Cane Hill, St. Francis, St. Giles, and nursing students, social workers and students, etc. Some of these visitors came from overseas, i.e. Mauritius, Brazil, Columbia, New York and Jerusalem. The",1967,Southwark,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/noo view,Yes,Social Work
b19883286,"married,women",Redbridge,Redbridge.1967.b19883286.txt,bigram + list of terms,"because it was a holiday period. We had to make them feel part of the Local Authority Service, show enthusiasm and interest in their work as it was a trial period for them before being allowed full professional status. Each student worked with a reduced case load on the area they were later to take over. The Future of Health Visiting Generally, the dedicated spinster is now reaching the period of retirement; this particularly applies to the profession and and her loss will be very much felt in the community. The future depends on the service being covered by young married women who once having completed their contract, will leave to have their families. Once the family are grown up they will, we hope, come back into the Service. The turn over of staff 36 will therefore be rapid and with the general shortage of Health Visitors the future i uncertain. Despite the employment of ancillary staff, there are many duties which only the health visitor can carry out successfully. SECTION 25 HOME NURSING Home Nursing Details of the work undertaken during 1967 by the Home Nurses are as follows: — Total patients nursed — 2,900 Aged under 5 years",1967,Redbridge,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Health Visiting
b19877067,"married,women",Walthamstow,Walthamstow.1968.b19877067.txt,bigram + list of terms,"assistant nurses, and other trained N.N.E.E.B. nurses went on to Teacher Training Colleges or into hospital for further training. In recent years, however, the trend has been at the end of training to try other jobs with more attractive hours of work - namely the Nursery Schools and Save the Children Fund. Nursery Nurses want more experience with older children and talk about employment in nurseries on board Ocean Liners, Air Hostess work and the Women's Police Force. It seems that recruitment to Day Nursery Service has reached a full cycle, losing the young nurse and being replaced by young married women with families. This maturity is valuable, and they are without doubt the nucleus of a good Nursery staff. The Nursery nurse marries at an earlier age and then uses her Certificate when her family has reached school age. - 31 - Many Play-Groups are now staffed with the young N.N.E.E.B. nurse who is keeping her contact with young children, and who one day will return to the Day Nursery. In the early days, the lists of children awaiting admission at all the Nurseries were long due to the lack of school places, but as more of these became",1968,Waltham Forest,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Positive,Yes,Childcare
b19883304,"married,women",Redbridge,Redbridge.1969.b19883304.txt,bigram + list of terms,"plans to increase the staffing establishment of the Welfare Services by the introduction of three Welfare Assistant posts - one for each of the three geographical teams — became possible and it was anticipated that the vacancies would be filied early in 1970. It is significant that whilst there was only a limited response to our advertisements for an Assistant Principal Social Worker and the Social Welfare Officer vacancies, particularly from professionally qualified ancj/ or experienced people, our advertisement of the Welfare Assistant posts produced almost a hundred enquiries and over thirty applications. It has become apparent that among mature married women there are many who, though they may lack high academic or professional qualifications, nevertheless have the necessary qualities of personality and a desire to give service to the community which renders them a rich potential source of recruitment to the staff of Welfare Services at a Welfare Assistant level. Unfortunately, whilst plans to integrate the existing social work departments of King George Hospital and Chadwell Heath Hospital into the community based services were completea, it was not possible to advertise a joint appointment until the end of 1969 and the response was so limited that the post will",1969,Redbridge,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Positive,No,Social Work
b18239961,"married,women",LambethMetropolitanBorough,LambethMetropolitanBorough.1970.b18239961.txt,bigram + list of terms,"Average per session 1.8 Total attendances 9,557 Defects treated: Athlete's foot 94 Verrucae 925 Ringworm — body 7 Impetigo 76 Other skin diseases 130 Eye diseases 10 Ear diseases 29 Miscellaneous: Bruises, lacerations etc. 334 RECUPERATIVE HOLIDAY HOMES Schoolchildren (including nursery school children) Number admitted during year 227 * * also includes 96 pre-school children 134 SCHOOL DENTAL SERVICE REPORT OF THE PRINICPAL SCHOOL DENTAL OFFICER 1970 Staffing It is pleasing to report that there has been less difficult than hitherto in obtaining sufficient dental officers both full-time and sessional, to maintain the service. For sessional work a number of married women with children who wish to resume their professional life have been attracted to the service. The difficulties which have occurred in some areas in recruitment of dental surgery assistants have not yet become acute in Lambeth, but because of the relatively low salary scale the number of suitable applicants is severely limited. The staffing position as at 31.12.70 was as follows:— Principal School Dental Officer Senior Dental Officer *2 full-time Dental Officers 6 sessional Dental Officers (2.6 full-time equivalent) 1 Dental Auxiliary 9 full-time Dental Surgery Assistants 3 Sessional Anaesthetists were also employed *3 for most of year",1970,Lambeth,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Positive,Yes,Medicine
b19875320,"married,women",KingstonuponThames,KingstonuponThames.1970.b19875320.txt,bigram + list of terms,"recommendation of the family doctor and the amount of service is assessed on need and availability of home helps by the Home Help Supervisor. A charge is made based on the cost of the service, but is reduced according to the recipient's means, where necessary. The establishment of the equivalent of 60 full time home helps has never been reached, and at 31st December 1970 there were 74 home helps, equivalent to 36 full time staff. During the year 97 applicants were interviewed; 39 of these were not considered suitable or found other employment. There is a potential reservoir of married women who are interested in doing this type of work but cannot make arrangements for their school children to be cared for during the school holidays. These recruitment difficulties have resulted in heavy pressure on existing staff which has in some instances proved inadequate to meet the demands on the service. Despite these difficulties a total of 65,207 hours of service were devoted to the care of the sick and elderly in the borough. The following are details of the households assisted during the year: Category Number Assisted Persons aged 65 or over at time of visit 814 Chronic",1970,Kingston upon Thames,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Neutral,Yes,Domestic Service
b18237915,"married,women",Greenwich,Greenwich.1971.b18237915.txt,bigram + list of terms,"from the beginning of the present century these changes, together with earlier marriage, shortening of time devoted to family building and nurture of small children and longer life expectancy, have had profound effects upon the social life of society. They have resulted, inter alia, in the lengthening of the later stages of married life when a couple are left alone but, conversely, the greatly extended educational facilities now made available has meant that the individual child remains financially dependent for a much longer period than hitherto. In combination, these factors have brought about an increase in the economic activity of married women throughout the country from 34.0% in 1961 to 41.1% in 1971. Locally, of all married women in Greenwich in 1901, 6.0% were economically active compared with the present figure of 47.7%. Social changes initiated by the increase in family income include a general rise in living standards and, with both parents becoming wage-earners, a re-distribution of family and household responsibilities. Indeed, the traditional view of woman as the home-maker and keeper is rapidly being transformed. With society's condonation of the industrial and commercial employment of married women comes mounting pressure on local authorities to establish more childminding and",1971,Greenwich,"employment,employed,employee,work,working,worked,job,occupation",Yes,More text needed at end of extract,Neutral,Yes,Unspecified
b18197267,"married,women",Hammersmith,Hammersmith.1972.b18197267.txt,bigram + list of terms,"Road Clinic. Pupil Midwives from Queen Charlotte's Hospital continued to receive practical experience of domiciliary work and the wider aspects of community care. School Nursing The School Nurses have benefitted from the appointment of the four Nursing Officers referred to earlier. As C11 each of them have close contact with one quarter of the staff they have dealt with problems as they arise as well as generally improving communications. Their function has been particularly helpful in supporting new and inexperienced members of staff. This is relevant to the present situation, whereby the School Nursing workforce is mainly composed of young married women whose length of service will probably be limited. The amount of travelling time spent by each School Nurse was cut down because the geographical areas they serviced were reorganised during 1972. In addition, the number of minor ailment clinics held in the Borough was reduced in September, following the trends in other authorities, thus allowing better use of the School Nurses' time. Home Nursing 1972 made very heavy demands upon the District Nursing Sisters, partly because of the early discharge policy undertaken by most hospitals, which caused an increase in each case load. This resulted in staff being",1972,Hammersmith and Fulham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Nursing
b19787315,"married,women",Croydon,Croydon.1973.b19787315.txt,bigram + list of terms,"M.C.S.P., A.P.T.A., (Superintendent Physiotherapist) Physiotherapy wi II always draw on the less mobile section of the population and 1973 has shown at St. Giles' School that there is a greater caseload of disability being dealt with by fewer physiotherapists. Therefore looking ahead, the type of work done by the staff available, that is less therapists and more aides, must obviously change. Fewer treatments will be done and more reasoned assessment and advice to parents and teachers will have to be the willing role of the physiotherapist; towards this end there must be educational changes within our own profession. Part-time married women can be encouraged back to work in the local situation providing they can be taught their new role. It would be profitable to train multi-disciplinary ""teach-in teams"" consisting of a Physiotherapist, an Occupational Therapist and a Health Visitor going round within the community providing a service that is both complementary and supplementary to the Hospital Service. There would therefore be an enlarged working environment with fewer therapists covering more ground. If an effective system of referral was established, patients could be referred at a few weeks old, and a scheme of total home management by the ""teach-in team""",1973,Croydon,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Neutral,No,Medicine
